,provinsi,kab_kota,kecamatan,desa,TOTAL,lat,long
0,JAWA BARAT,BANDUNG,MAJALAYA,SUKAMAJU,554,-7.051769999999976,107.75618000000009
1,JAWA BARAT,CIANJUR,CIRANJANG,CIRANJANG,476,-6.807649999999967,107.27754000000004
2,JAWA BARAT,BANDUNG,MAJALAYA,BIRU,472,-7.053229999999928,107.72817000000003
3,JAWA BARAT,BANDUNG BARAT,CIPATAT,GUNUNGMASIGIT,450,-6.832419999999956,107.43895000000003
4,JAWA BARAT,BANDUNG,MAJALAYA,PADAMULYA,444,-7.056189999999958,107.74966000000006
5,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,PANGAUBAN,436,-6.90337999999997,107.45419000000004
6,JAWA BARAT,BANDUNG BARAT,LEMBANG,LANGENSARI,430,-6.825159999999926,107.64416000000006
7,JAWA BARAT,BANDUNG BARAT,PARONGPONG,CIHIDEUNG,418,-6.834389999999928,107.59500000000008
8,JAWA BARAT,BANDUNG,CILEUNYI,CILEUNYI WETAN,326,-6.942489999999964,107.75616000000008
9,JAWA BARAT,BANDUNG BARAT,CILILIN,RANCAPANGGUNG,318,-6.982999999999947,107.42666000000008
10,JAWA BARAT,BANDUNG,KATAPANG,PANGAUBAN,298,-6.999059999999929,107.55414000000007
11,JAWA BARAT,BANDUNG,KUTAWARINGIN,JATISARI,256,-6.9742899999999395,107.51663000000008
12,JAWA BARAT,BANDUNG,BALEENDAH,BOJONGMALAKA,236,-6.994289999999978,107.60687000000007
13,JAWA BARAT,BANDUNG,CIMENYAN,CIMENYAN,231,-6.843689999999981,107.67396000000008
14,JAWA BARAT,BANDUNG,BOJONGSOANG,BOJONGSOANG,224,-6.973059999999975,107.63608000000005
15,JAWA BARAT,CIANJUR,MANDE,KADEMANGAN,224,-6.775409999999965,107.19544000000008
16,JAWA BARAT,BANDUNG BARAT,SAGULING,GIRIMUKTI,224,-6.8873199999999315,107.42208000000005
17,JAWA BARAT,BANDUNG,BOJONGSOANG,BUAHBATU,222,-6.98016999999993,107.67023000000006
18,JAWA BARAT,BANDUNG BARAT,GUNUNGHALU,GUNUNGHALU,222,-7.054569999999956,107.33685000000008
19,JAWA BARAT,BANDUNG BARAT,NGAMPRAH,MARGAJAYA,213,-6.857459999999946,107.50595000000004
20,JAWA BARAT,CIANJUR,CILAKU,CIHARASHAS,210,-6.862609999999961,107.16524000000004
21,JAWA BARAT,BANDUNG,CILEUNYI,CILEUNYI KULON,207,-6.941319999999962,107.74275000000006
22,JAWA BARAT,CIANJUR,BOJONGPICUNG,SUKARATU,206,-6.870209999999929,107.28110000000004
23,JAWA BARAT,BANDUNG BARAT,CIPONGKOR,SARINAGEN,202,-6.940429999999935,107.35202000000004
24,JAWA BARAT,GARUT,MALANGBONG,MEKARASIH,200,-7.022639999999967,108.08689000000004
25,JAWA BARAT,BANDUNG,CIKANCUNG,CIHANYIR,198,-7.0232899999999745,107.81714000000005
26,JAWA BARAT,CIANJUR,CIRANJANG,NANGGALAMEKAR,196,-6.838389999999947,107.24490000000009
27,JAWA BARAT,BANDUNG BARAT,LEMBANG,CIBOGO,195,-6.807489999999973,107.63883000000004
28,JAWA BARAT,KARAWANG,KOTA BARU,PANGULAH SELATAN,192,-6.40880999999996,107.50287000000009
29,JAWA BARAT,BANDUNG BARAT,CIHAMPELAS,MEKARJAYA,190,-6.911229999999932,107.44148000000007
30,JAWA BARAT,BANDUNG,KATAPANG,CILAMPENI,190,-6.989569999999958,107.54776000000004
31,JAWA BARAT,BANDUNG BARAT,NGAMPRAH,NGAMPRAH,182,-6.838689999999929,107.51108000000005
32,JAWA BARAT,CIANJUR,BOJONGPICUNG,HEGARMANAH,180,-6.832439999999963,107.27454000000006
33,JAWA BARAT,BANDUNG BARAT,CIPATAT,MANDALASARI,176,-6.823999999999955,107.33856000000009
34,JAWA BARAT,BANDUNG,CANGKUANG,NAGRAK,175,-7.0609099999999785,107.54449000000005
35,JAWA BARAT,BANDUNG BARAT,CIHAMPELAS,MEKARMUKTI,169,-6.930609999999945,107.46420000000006
36,JAWA BARAT,BANDUNG BARAT,GUNUNGHALU,BUNIJAYA,169,-7.015009999999961,107.26456000000007
37,JAWA BARAT,KARAWANG,KLARI,DUREN,165,-6.366649999999936,107.37300000000005
38,JAWA BARAT,BANDUNG BARAT,GUNUNGHALU,WARGASALUYU,164,-7.020689999999945,107.33638000000008
39,JAWA BARAT,BANDUNG,CICALENGKA,PANENJOAN,163,-6.972259999999949,107.82870000000008
40,JAWA BARAT,BANDUNG BARAT,LEMBANG,CIKOLE,163,-6.798669999999959,107.65258000000006
41,JAWA BARAT,CIANJUR,BOJONGPICUNG,NEGLASARI,162,-6.845959999999934,107.28362000000004
42,JAWA BARAT,CIANJUR,CUGENANG,CIBULAKAN,162,-6.822889999999973,107.09871000000004
43,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,160,-6.816559999999981,107.55452000000008
44,JAWA BARAT,BANDUNG,CIKANCUNG,TANJUNGLAYA,158,-6.9971199999999385,107.81300000000005
45,JAWA BARAT,CIANJUR,BOJONGPICUNG,BOJONGPICUNG,154,-6.903069999999957,107.24766000000005
46,JAWA BARAT,BOGOR,BABAKAN MADANG,KADUMANGGU,150,-6.54090999999994,106.85489000000007
47,JAWA BARAT,BANDUNG,CIPARAY,MANGUNHARJA,150,-7.041649999999947,107.72032000000007
48,JAWA BARAT,BOGOR,CIAWI,CITAPEN,148,-6.6987799999999424,106.86711000000008
49,JAWA BARAT,BANDUNG BARAT,PADALARANG,CAMPAKA MEKAR,145,-6.803299999999979,107.45573000000007
50,JAWA BARAT,BANDUNG,BANJARAN,BANJARAN KULON,143,-7.048039999999958,107.58895000000007
51,JAWA BARAT,PURWAKARTA,PLERED,PALINGGIHAN,142,-6.6457999999999515,107.39265000000006
52,JAWA BARAT,SUBANG,KASOMALANG,KASOMALANG KULON,142,-6.689949999999953,107.73658000000006
