,nama_wilayah,latitude,longitude,kabupaten,kab_latitude,kab_longitude
0,AGRABINTA,-7.394,106.896,KAB. CIANJUR,-7.134,107.158
1,BOJONGPICUNG,-6.888,107.256,KAB. CIANJUR,-7.134,107.158
2,CAMPAKA,-7.005,107.112,KAB. CIANJUR,-7.134,107.158
3,CAMPAKAMULYA,-7.077,107.215,KAB. CIANJUR,-7.134,107.158
4,CIANJUR,-6.819,107.131,KAB. CIANJUR,-7.134,107.158
5,CIBEBER,-6.935,107.14,KAB. CIANJUR,-7.134,107.158
6,CIBINONG,-7.326,107.149,KAB. CIANJUR,-7.134,107.158
7,CIDAUN,-7.408,107.378,KAB. CIANJUR,-7.134,107.158
8,CIJATI,-7.282,107.015,KAB. CIANJUR,-7.134,107.158
9,CIKADU,-7.313,107.255,KAB. CIANJUR,-7.134,107.158
10,CIKALONGKULON,-6.681,107.208,KAB. CIANJUR,-7.134,107.158
11,CILAKU,-6.869,107.151,KAB. CIANJUR,-7.134,107.158
12,CIPANAS,-6.714,107.016,KAB. CIANJUR,-7.134,107.158
13,CIRANJANG,-6.81,107.265,KAB. CIANJUR,-7.134,107.158
14,CUGENANG,-6.801,107.065,KAB. CIANJUR,-7.134,107.158
15,GEKBRONG,-6.873,107.048,KAB. CIANJUR,-7.134,107.158
16,HAURWANGI,-6.85,107.311,KAB. CIANJUR,-7.134,107.158
17,KADUPANDAK,-7.215,107.027,KAB. CIANJUR,-7.134,107.158
18,KARANGTENGAH,-6.806,107.188,KAB. CIANJUR,-7.134,107.158
19,LELES,-7.34,107.018,KAB. CIANJUR,-7.134,107.158
20,MANDE,-6.758,107.183,KAB. CIANJUR,-7.134,107.158
21,NARINGGUL,-7.352,107.334,KAB. CIANJUR,-7.134,107.158
22,PACET,-6.749,107.039,KAB. CIANJUR,-7.134,107.158
23,PAGELARAN,-7.157,107.179,KAB. CIANJUR,-7.134,107.158
24,PASIRKUDA,-7.203,107.221,KAB. CIANJUR,-7.134,107.158
25,SINDANGBARANG,-7.427,107.112,KAB. CIANJUR,-7.134,107.158
26,SUKALUYU,-6.831,107.22,KAB. CIANJUR,-7.134,107.158
27,SUKANAGARA,-7.101,107.09,KAB. CIANJUR,-7.134,107.158
28,SUKARESMI,-6.71,107.102,KAB. CIANJUR,-7.134,107.158
29,TAKOKAK,-7.106,106.986,KAB. CIANJUR,-7.134,107.158
30,TANGGEUNG,-7.257,107.121,KAB. CIANJUR,-7.134,107.158
31,WARUNGKONDANG,-6.854,107.07,KAB. CIANJUR,-7.134,107.158
32,ANDIR,-6.911,107.58,KOTA BANDUNG,-6.919,107.637
33,ANTAPANI,-6.917,107.661,KOTA BANDUNG,-6.919,107.637
34,ARCAMANIK,-6.92,107.677,KOTA BANDUNG,-6.919,107.637
35,ASTANA ANYAR,-6.934,107.602,KOTA BANDUNG,-6.919,107.637
36,BABAKAN CIPARAY,-6.944,107.578,KOTA BANDUNG,-6.919,107.637
37,BANDUNG KIDUL,-6.958,107.631,KOTA BANDUNG,-6.919,107.637
38,BANDUNG KULON,-6.931,107.565,KOTA BANDUNG,-6.919,107.637
39,BANDUNG WETAN,-6.905,107.617,KOTA BANDUNG,-6.919,107.637
40,BATUNUNGGAL,-6.926,107.637,KOTA BANDUNG,-6.919,107.637
41,BOJONGLOA KALER,-6.933,107.59,KOTA BANDUNG,-6.919,107.637
42,BOJONGLOA KIDUL,-6.952,107.598,KOTA BANDUNG,-6.919,107.637
43,BUAHBATU,-6.95,107.656,KOTA BANDUNG,-6.919,107.637
44,CIBEUNYING KALER,-6.888,107.63,KOTA BANDUNG,-6.919,107.637
45,CIBEUNYING KIDUL,-6.901,107.645,KOTA BANDUNG,-6.919,107.637
46,CIBIRU,-6.914,107.723,KOTA BANDUNG,-6.919,107.637
47,CICENDO,-6.901,107.584,KOTA BANDUNG,-6.919,107.637
