kec_code,provinsi,kabkota,kecamatan,code,desa
11.01.01,ACEH,KAB. ACEH SELATAN,Bakongan,7,7
11.01.02,ACEH,KAB. ACEH SELATAN,Kluet Utara,21,21
11.01.03,ACEH,KAB. ACEH SELATAN,Kluet Selatan,17,17
11.01.04,ACEH,KAB. ACEH SELATAN,Labuhan Haji,16,16
11.01.05,ACEH,KAB. ACEH SELATAN,Meukek,23,23
11.01.06,ACEH,KAB. ACEH SELATAN,Samadua,28,28
11.01.07,ACEH,KAB. ACEH SELATAN,Sawang,15,15
11.01.08,ACEH,KAB. ACEH SELATAN,Tapaktuan,16,16
11.01.09,ACEH,KAB. ACEH SELATAN,Trumon,12,12
11.01.10,ACEH,KAB. ACEH SELATAN,Pasi Raja,21,21
11.01.11,ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,12,12
11.01.12,ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,15,15
11.01.13,ACEH,KAB. ACEH SELATAN,Kluet Tengah,13,13
11.01.14,ACEH,KAB. ACEH SELATAN,Kluet Timur,9,9
11.01.15,ACEH,KAB. ACEH SELATAN,Bakongan Timur,7,7
11.01.16,ACEH,KAB. ACEH SELATAN,Trumon Timur,8,8
11.01.17,ACEH,KAB. ACEH SELATAN,Kota Bahagia,10,10
11.01.18,ACEH,KAB. ACEH SELATAN,Trumon Tengah,10,10
11.02.01,ACEH,KAB. ACEH TENGGARA,Lawe Alas,28,28
11.02.02,ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,35,35
11.02.03,ACEH,KAB. ACEH TENGGARA,Bambel,33,33
11.02.04,ACEH,KAB. ACEH TENGGARA,Babussalam,27,27
11.02.05,ACEH,KAB. ACEH TENGGARA,Badar,18,18
11.02.06,ACEH,KAB. ACEH TENGGARA,Babul Makmur,21,21
11.02.07,ACEH,KAB. ACEH TENGGARA,Darul Hasanah,28,28
11.02.08,ACEH,KAB. ACEH TENGGARA,Lawe Bulan,24,24
11.02.09,ACEH,KAB. ACEH TENGGARA,Bukit Tusam,23,23
11.02.10,ACEH,KAB. ACEH TENGGARA,Semadam,19,19
11.02.11,ACEH,KAB. ACEH TENGGARA,Babul Rahmah,27,27
11.02.12,ACEH,KAB. ACEH TENGGARA,Ketambe,25,25
11.02.13,ACEH,KAB. ACEH TENGGARA,Deleng Pokhkisen,22,22
11.02.14,ACEH,KAB. ACEH TENGGARA,Lawe Sumur,18,18
11.02.15,ACEH,KAB. ACEH TENGGARA,Tanoh Alas,14,14
11.02.16,ACEH,KAB. ACEH TENGGARA,Leuser,23,23
11.03.01,ACEH,KAB. ACEH TIMUR,Darul Aman,45,45
11.03.02,ACEH,KAB. ACEH TIMUR,Julok,37,37
11.03.03,ACEH,KAB. ACEH TIMUR,Idi Rayeuk,35,35
11.03.04,ACEH,KAB. ACEH TIMUR,Birem Bayeun,27,27
11.03.05,ACEH,KAB. ACEH TIMUR,Serbajadi,17,17
11.03.06,ACEH,KAB. ACEH TIMUR,Nurussalam,31,31
11.03.07,ACEH,KAB. ACEH TIMUR,Peureulak,38,38
11.03.08,ACEH,KAB. ACEH TIMUR,Rantau Selamat,14,14
11.03.09,ACEH,KAB. ACEH TIMUR,Simpang Ulim,23,23
11.03.10,ACEH,KAB. ACEH TIMUR,Rantau Peureulak,23,23
11.03.11,ACEH,KAB. ACEH TIMUR,Pante Bidari,25,25
11.03.12,ACEH,KAB. ACEH TIMUR,Madat,26,26
11.03.13,ACEH,KAB. ACEH TIMUR,Indra Makmu,13,13
11.03.14,ACEH,KAB. ACEH TIMUR,Idi Tunong,25,25
11.03.15,ACEH,KAB. ACEH TIMUR,Banda Alam,16,16
11.03.16,ACEH,KAB. ACEH TIMUR,Peudawa,17,17
11.03.17,ACEH,KAB. ACEH TIMUR,Peureulak Timur,20,20
11.03.18,ACEH,KAB. ACEH TIMUR,Peureulak Barat,15,15
11.03.19,ACEH,KAB. ACEH TIMUR,Sungai Raya,13,13
11.03.20,ACEH,KAB. ACEH TIMUR,Simpang Jernih,8,8
11.03.21,ACEH,KAB. ACEH TIMUR,Darul Ihsan,16,16
11.03.22,ACEH,KAB. ACEH TIMUR,Darul Falah,11,11
11.03.23,ACEH,KAB. ACEH TIMUR,Idi Timur,13,13
11.03.24,ACEH,KAB. ACEH TIMUR,Peunaron,5,5
11.04.01,ACEH,KAB. ACEH TENGAH,Linge,26,26
11.04.02,ACEH,KAB. ACEH TENGAH,Silih Nara,33,33
11.04.03,ACEH,KAB. ACEH TENGAH,Bebesen,28,28
11.04.07,ACEH,KAB. ACEH TENGAH,Pegasing,31,31
11.04.08,ACEH,KAB. ACEH TENGAH,Bintang,24,24
11.04.10,ACEH,KAB. ACEH TENGAH,Ketol,25,25
11.04.11,ACEH,KAB. ACEH TENGAH,Kebayakan,20,20
11.04.12,ACEH,KAB. ACEH TENGAH,Kute Panang,24,24
11.04.13,ACEH,KAB. ACEH TENGAH,Celala,17,17
11.04.17,ACEH,KAB. ACEH TENGAH,Laut Tawar,18,18
11.04.18,ACEH,KAB. ACEH TENGAH,Atu Lintang,11,11
11.04.19,ACEH,KAB. ACEH TENGAH,Jagong Jeget,10,10
11.04.20,ACEH,KAB. ACEH TENGAH,Bies,12,12
11.04.21,ACEH,KAB. ACEH TENGAH,Rusip Antara,16,16
11.05.01,ACEH,KAB. ACEH BARAT,Johan Pahwalan,21,21
11.05.02,ACEH,KAB. ACEH BARAT,Kaway XVI,44,44
11.05.03,ACEH,KAB. ACEH BARAT,Sungai Mas,18,18
11.05.04,ACEH,KAB. ACEH BARAT,Woyla,43,43
11.05.05,ACEH,KAB. ACEH BARAT,Samatiga,32,32
11.05.06,ACEH,KAB. ACEH BARAT,Bubon,17,17
11.05.07,ACEH,KAB. ACEH BARAT,Arongan Lambalek,27,27
11.05.08,ACEH,KAB. ACEH BARAT,Pante Ceureumen,25,25
11.05.09,ACEH,KAB. ACEH BARAT,Meureubo,26,26
11.05.10,ACEH,KAB. ACEH BARAT,Woyla Barat,24,24
11.05.11,ACEH,KAB. ACEH BARAT,Woyla Timur,26,26
11.05.12,ACEH,KAB. ACEH BARAT,Panton Reu,19,19
11.06.01,ACEH,KAB. ACEH BESAR,Lhoong,28,28
11.06.02,ACEH,KAB. ACEH BESAR,Lhoknga,28,28
11.06.03,ACEH,KAB. ACEH BESAR,Indrapuri,52,52
11.06.04,ACEH,KAB. ACEH BESAR,Seulimeum,47,47
11.06.05,ACEH,KAB. ACEH BESAR,Montasik,39,39
11.06.06,ACEH,KAB. ACEH BESAR,Sukamakmur,35,35
11.06.07,ACEH,KAB. ACEH BESAR,Darul Imarah,32,32
11.06.08,ACEH,KAB. ACEH BESAR,Peukan Bada,26,26
11.06.09,ACEH,KAB. ACEH BESAR,Mesjid Raya,13,13
11.06.10,ACEH,KAB. ACEH BESAR,Ingin Jaya,50,50
