unique_location,count(nik),koordinat
JAWA BARAT_INDRAMAYU_TERISI_CIBERENG,4426,"(-6.454839999999933, 108.16669000000007, 'Cibereng, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_CIKAWUNG,5116,"(-6.607059999999933, 107.98109000000005, 'Cikawung, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_JATIMULYA,6208,"(-6.501369999999952, 108.14761000000004, 'Jatimulya, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_JATIMUNGGUL,4321,"(-6.537889999999948, 108.11278000000004, 'Jatimunggul, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_KARANGASEM,4226,"(-6.471029999999928, 108.17059000000006, 'Karangasem, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_KENDAYAKAN,3679,"(-6.453489999999931, 108.13994000000008, 'Kendayakan, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_MANGGUNGAN,3824,"(-6.44163999999995, 108.12899000000004, 'Manggungan, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_PLOSOKEREP,4046,"(-6.47709999999995, 108.13853000000006, 'Plosokerep, Terisi, Jawa Barat')"
JAWA BARAT_INDRAMAYU_TERISI_RAJASINGA,5302,"(-6.480469999999968, 108.14704000000006, 'Rajasinga, Terisi, Jawa Barat')"
JAWA BARAT_BOGOR_CARINGIN_PASIR BUNCIR,5055,"(-6.74625999999995, 106.83541000000008, 'Pasir Buncir, Caringin, Bogor, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI UTARA_TELUK PUCUNG,41358,"(-6.207899999999938, 107.02867000000003, 'Teluk Pucung, Bekasi Utara, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATIASIH_JATIASIH,20497,"(-6.301309999999944, 106.95715000000007, 'Jatiasih, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATIASIH_JATIKRAMAT,23879,"(-6.278159999999957, 106.94645000000008, 'Jatikramat, Jatiasih, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATIASIH_JATILUHUR,17697,"(-6.319749999999942, 106.94878000000006, 'Jatiluhur, Jatiasih, Bekasi, Jawa Barat')"
JAWA BARAT_BOGOR_TANAH SAREAL_MEKARWANGI,12693,"(-6.526249999999948, 106.77723000000009, 'Mekarwangi, Tanah Sereal, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_TANAH SAREAL_SUKADAMAI,10258,"(-6.550319999999942, 106.78755000000007, 'Sukadamai, Tanah Sereal, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_TANAH SAREAL_SUKARESMI,8759,"(-6.552929999999947, 106.79987000000006, 'Sukaresmi, Tanah Sereal, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_TANAH SAREAL_TANAH SAREAL,6471,"(-6.573279999999954, 106.79936000000004, 'Tanahsareal, Tanah Sereal, Bogor, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI SELATAN_CIBEBER,18090,"(-6.901049999999941, 107.51565000000005, 'Cibeber, Cimahi Selatan, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI SELATAN_CIBEUREUM,41593,"(-6.912119999999959, 107.56042000000008, 'Cibeureum, Cimahi Selatan, Jawa Barat')"
JAWA BARAT_CIAMIS_PANUMBANGAN_SINDANG BARANG,2911,"(-7.07015999999993, 108.19646000000006, 'Sindangbarang, Panumbangan, Jawa Barat')"
JAWA BARAT_CIAMIS_PURWADADI_KARANGPANINGGAL,4654,"(-7.44101999999998, 108.66727000000009, 'Karangpaningal, Purwadadi, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_BOJONGSARI,10359,"(-6.379359999999963, 106.73674000000005, 'Bojongsari, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_BOJONGSARI BARU,6480,"(-6.38770999999997, 106.74592000000007, 'Bojongsari Baru, Bojongsari, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_CURUG,13166,"(-6.394289999999955, 106.73283000000004, 'Curug, Bojongsari, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIHIDEUNG_ARGASARI,7963,"(-7.325469999999939, 108.20826000000005, 'Argasari, Cihideung, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIHIDEUNG_CILEMBANG,10301,"(-7.328529999999944, 108.20863000000008, 'Cilembang, Cihideung, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIHIDEUNG_NAGARAWANGI,4873,"(-7.3340899999999465, 108.21979000000005, 'Nagarawangi, Cihideung, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIHIDEUNG_TUGUJAYA,7312,"(-7.345749999999953, 108.21409000000006, 'Tugujaya, Cihideung, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIHIDEUNG_TUGURAJA,14820,"(-7.3363599999999565, 108.21174000000008, 'Tuguraja, Cihideung, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIHIDEUNG_YUDANAGARA,3549,"(-7.327819999999974, 108.21846000000005, 'Yudanagara, Cihideung, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIPEDES_CIPEDES,10536,"(-7.313729999999964, 108.22325000000006, 'Cipedes, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIPEDES_NAGARASARI,13067,"(-7.311279999999954, 108.22432000000003, 'Nagarasari, Cipedes, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIPEDES_PANGLAYUNGAN,13975,"(-7.318829999999934, 108.20647000000008, 'Panglayungan, Cipedes, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIPEDES_SUKAMANAH,16601,"(-7.311659999999961, 108.23847000000006, 'Sukamanah, Cipedes, Tasikmalaya, Jawa Barat')"
JAWA BARAT_GARUT_KARANGPAWITAN_KARANGMULYA,5332,"(-7.2161499999999705, 107.93155000000007, 'Karangmulya, Karangpawitan, Jawa Barat')"
JAWA BARAT_GARUT_KARANGPAWITAN_LEBAKJAYA,8119,"(-7.2161499999999705, 107.93155000000007, 'Lebakjaya, Karangpawitan, Jawa Barat')"
JAWA BARAT_GARUT_KARANGPAWITAN_LENGKONGJAYA,4108,"(-7.203229999999962, 107.92661000000004, 'Lengkongjaya, Karangpawitan, Jawa Barat')"
JAWA BARAT_GARUT_KARANGPAWITAN_SUCI KALER,5569,"(-7.2109799999999495, 107.91796000000005, 'Sucikaler, Karangpawitan, Jawa Barat')"
